#Rev: sensefly/geoinfo/3
fileName	latitude	longitude	altitude_wgs84
DSC07147.JPG	35.9889795273	139.0931517842	424.6734313965	
DSC07148.JPG	35.9893929214	139.0933685467	424.6044921875	
DSC07149.JPG	35.9897490280	139.0936628760	423.8359375000	
DSC07150.JPG	35.9901217117	139.0938894954	423.9747924805	
DSC07151.JPG	35.9905367945	139.0941507382	426.7575683594	
DSC07152.JPG	35.9909439782	139.0943991086	425.6526184082	
DSC07153.JPG	35.9913202424	139.0947170327	426.0661926270	
DSC07154.JPG	35.9917499742	139.0949335778	428.7436218262	
DSC07155.JPG	35.9921455721	139.0951858378	428.1320190430	
DSC07156.JPG	35.9925112008	139.0954552620	423.5030517578	
DSC07157.JPG	35.9929183195	139.0956615258	421.7491760254	
DSC07158.JPG	35.9932963103	139.0959515367	422.3481140137	
DSC07159.JPG	35.9936984523	139.0962065430	423.1579589844	
DSC07160.JPG	35.9940772818	139.0964550471	422.6143798828	
DSC07161.JPG	35.9944832459	139.0967114951	423.2919311523	
DSC07162.JPG	35.9948659231	139.0969598627	423.4141845703	
DSC07163.JPG	35.9952612664	139.0972238869	425.4957580566	
DSC07164.JPG	35.9956601773	139.0974892828	425.6134033203	
DSC07165.JPG	35.9960606994	139.0976988597	425.3771057129	
DSC07166.JPG	35.9964183674	139.0979457381	425.4410095215	
DSC07167.JPG	35.9968045473	139.0982036272	423.8981628418	
DSC07168.JPG	35.9971875403	139.0984673280	422.9716796875	
DSC07169.JPG	35.9975956720	139.0987221465	424.5143737793	
DSC07170.JPG	35.9979977276	139.0989924716	423.2198486328	
DSC07171.JPG	35.9984016230	139.0992481980	425.1804199219	
DSC07172.JPG	35.9987802993	139.0994922597	425.1748657227	
DSC07173.JPG	35.9991813139	139.0997643307	424.5795898438	
DSC07174.JPG	35.9995861391	139.1000274643	423.9488830566	
DSC07175.JPG	35.9999955710	139.1002778994	425.1467285156	
DSC07176.JPG	36.0003623088	139.1005016314	424.6942138672	
DSC07177.JPG	36.0007488009	139.1007697169	423.7839660645	
DSC07178.JPG	36.0011380543	139.1010292244	423.2049255371	
